0.0 -1.0 -2.0
0.005 -1.0099870979 -1.99477486464
0.01 -1.01994699427 -1.98909912871
0.015 -1.02987736158 -1.98297252976
0.02 -1.0397759689 -1.97639528565
0.025 -1.04964056458 -1.9693680248
0.03 -1.05946890152 -1.96189184465
0.035 -1.06925873812 -1.95396828718
0.04 -1.07900784273 -1.94559934181
0.045 -1.08871399413 -1.93678747941
0.05 -1.09837498484 -1.92753557932
0.055 -1.10798862303 -1.91784698881
0.06 -1.11755273409 -1.90772550519
0.065 -1.12706516447 -1.897175371
0.07 -1.13652378405 -1.8862012675
0.075 -1.1459264873 -1.87480831277
0.08 -1.15527118788 -1.86300207204
0.085 -1.16455583549 -1.85078851495
0.09 -1.17377841348 -1.83817402186
0.095 -1.18293692791 -1.8251654123
0.1 -1.19202942661 -1.81176987422
0.105 -1.20105399654 -1.7979949747
0.11 -1.21000875954 -1.78384866991
0.115 -1.21889188121 -1.76933925349
0.12 -1.2277015646 -1.75447539858
0.125 -1.23643606197 -1.73926607169
0.13 -1.24509366807 -1.72372058293
0.135 -1.25367272586 -1.70784853018
0.14 -1.26217162823 -1.69165978475
0.145 -1.27058881496 -1.67516451598
0.15 -1.27892278178 -1.65837308736
0.155 -1.28717207222 -1.64129615311
0.16 -1.2953352861 -1.6239445387
0.165 -1.30341107786 -1.60632926702
0.17 -1.31139815736 -1.58846154307
0.175 -1.31929528947 -1.57035272486
0.18 -1.32710129852 -1.55201428649
0.185 -1.334815067 -1.53345781243
0.19 -1.34243553213 -1.51469501106
0.195 -1.34996169207 -1.49573765025
0.2 -1.35739260355 -1.47659755322
0.205 -1.36472738215 -1.45728657972
0.21 -1.37196520368 -1.43781660482
0.215 -1.37910530252 -1.41819950239
0.22 -1.38614697256 -1.39844712481
0.225 -1.39308956744 -1.37857128416
0.23 -1.39993249879 -1.35858373862
0.235 -1.40667523744 -1.33849617
0.24 -1.41331731242 -1.31832016981
0.245 -1.4198583094 -1.29806722777
0.25 -1.42629787254 -1.27774870402
0.255 -1.43263570344 -1.25737581552
0.26 -1.43887155735 -1.23695964044
0.265 -1.44500524429 -1.21651109217
0.27 -1.45103662988 -1.19604089503
0.275 -1.45696563327 -1.17555957998
0.28 -1.4627922235 -1.15507749637
0.285 -1.46851642208 -1.13460476851
0.29 -1.47413830146 -1.11415128868
0.295 -1.47965798226 -1.09372672604
0.3 -1.4850756318 -1.07334052198
0.305 -1.4903914652 -1.05300185332
0.31 -1.49560574336 -1.03271963459
0.315 -1.50071876996 -1.01250253723
0.32 -1.50573089142 -0.992358964582
0.325 -1.51064249577 -0.972297042536
0.33 -1.5154540109 -0.952324626978
0.335 -1.52016590345 -0.932449291693
0.34 -1.52477867744 -0.912678323173
0.345 -1.52929287223 -0.893018735902
0.35 -1.53370906158 -0.873477257064
0.355 -1.53802785233 -0.854060322842
0.36 -1.54224988266 -0.83477409288
0.365 -1.54637582089 -0.81562443949
0.37 -1.550406364 -0.796616946328
0.375 -1.5543422362 -0.777756923153
0.38 -1.55818418749 -0.759049397367
0.385 -1.56193299233 -0.740499114761
0.39 -1.56558944828 -0.722110553028
0.395 -1.56915437458 -0.703887918012
0.4 -1.57262861072 -0.685835143808
0.405 -1.5760130154 -0.667955907417
0.41 -1.57930846498 -0.650253625929
0.415 -1.58251585215 -0.632731460935
0.42 -1.5856360848 -0.615392325298
0.425 -1.58867008496 -0.598238889544
0.43 -1.59161878733 -0.581273589028
0.435 -1.59448313815 -0.564498630934
0.44 -1.59726409417 -0.547915987904
0.445 -1.59996262146 -0.531527413855
0.45 -1.60257969431 -0.515334452554
0.455 -1.60511629421 -0.4993384402
0.46 -1.60757340885 -0.483540508172
0.465 -1.60995203103 -0.467941595832
0.47 -1.61225315779 -0.452542455305
0.475 -1.6144777895 -0.437343655532
0.48 -1.61662692893 -0.42234559063
0.485 -1.61870158038 -0.407548487261
0.49 -1.62070274887 -0.392952410218
0.495 -1.62263143937 -0.378557267449
0.5 -1.62448865602 -0.364362818976
0.505 -1.62627540135 -0.350368682828
0.51 -1.62799267583 -0.336574339682
0.515 -1.6296414767 -0.322979140415
0.52 -1.63122279784 -0.309582312609
0.525 -1.63273762895 -0.296382965804
0.53 -1.63418695498 -0.283380096028
0.535 -1.6355717556 -0.27057259506
0.54 -1.63689300469 -0.257959255544
0.545 -1.63815166975 -0.245538777048
0.55 -1.63934871187 -0.233309765304
0.555 -1.64048508503 -0.221270740635
0.56 -1.6415617352 -0.209420148901
0.565 -1.64257960005 -0.197756364361
0.57 -1.64353960864 -0.186277694328
0.575 -1.64444268279 -0.174982373771
0.58 -1.64528973504 -0.163868580373
0.585 -1.64608166827 -0.152934439086
0.59 -1.64681937586 -0.142178024443
0.595 -1.64750374189 -0.131597362116
0.6 -1.64813564001 -0.121190438176
0.605 -1.64871593337 -0.110955202418
0.61 -1.64924547515 -0.100889567371
0.615 -1.64972510854 -0.0909914111163
0.62 -1.65015566546 -0.0812585880955
0.625 -1.65053796685 -0.0716889299628
0.63 -1.6508728233 -0.0622802429485
0.635 -1.6511610343 -0.0530303156164
0.64 -1.65140338795 -0.0439369239627
0.645 -1.65160066108 -0.0349978323527
0.65 -1.6517536199 -0.0262107902694
0.655 -1.65186301906 -0.0175735425121
0.66 -1.65192960171 -0.0090838309245
0.665 -1.65195409976 -0.000739393941936
0.67 -1.65193723419 0.00746203398906
0.675 -1.65187971438 0.0155227141351
0.68 -1.65178223822 0.0234449024142
0.685 -1.65164549259 0.0312308522524
0.69 -1.65147015323 0.0388828110646
